score,adsh,form,file_date,file_type,file_description,root_forms,ciks,display_names,_id
15.052527,0001032208-25-000051,8-K,2025-09-19,8-K,8-K,8-K,"0001032208,0000086521","SEMPRA  (SRE, SREA)  (CIK 0001032208) | SAN DIEGO GAS & ELECTRIC CO  (CIK 0000086521)",0001032208-25-000051:sresdge-20250919.htm
15.039359,0001558370-22-002151,8-K,2022-02-25,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED FEBRUARY 25, 2022",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0001558370-22-002151:eix-20220225xex99d1.htm
15.028743,0000827052-23-000089,8-K,2023-11-02,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED NOVEMBER 2, 2023",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-23-000089:eix-20231102xex99d1.htm
15.028622,0001032208-19-000008,8-K,2019-07-12,8-K,FORM 8-K,8-K,"0001032208,0000086521","SEMPRA ENERGY  (SRE, SREA)  (CIK 0001032208) | SAN DIEGO GAS & ELECTRIC CO  (CIK 0000086521)",0001032208-19-000008:sresdge20190711form8k.htm
15.023208,0001004980-26-000033,10-Q,2026-04-23,10-Q,10-Q,10-Q,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI, PCG-PX)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0001004980-26-000033:pcg-20260331.htm
15.019242,0000827052-24-000012,8-K,2024-02-22,EX-99.3,"EX-99.3 EIX FOURTH QUARTER AND FULL-YEAR 2023 PRESENTATION DATED FEBRUARY 22, 2024",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-24-000012:eix-20240222xex99d3.htm
15.017589,0000827052-25-000024,8-K,2025-02-28,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED FEBRUARY 27, 2025",8-K,"0000827052,0000092103",EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (CIK 0000092103),0000827052-25-000024:exhibit991businessupdate.htm
15.016244,0000827052-24-000057,8-K,2024-07-26,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED JULY 25, 2024",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-24-000057:eix-20240725xex99d1.htm
15.015206,0000827052-22-000079,8-K,2022-11-02,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATED NOVEMBER 2, 2022",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-22-000079:eix-20221102xex99d1.htm
15.012885,0000827052-23-000068,8-K,2023-07-28,EX-99.1,"EX-99.1 EIX BUSINESS UPDATE PRESENTATION DATEDEIX BUSINESS UPDATE PRESENTATION DATED JULY 28, 2023",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-23-000068:eix-20230728xex99d1.htm
